DATE,DEXCAUS,realizedVariance,jump,bipowerVariance
1998-02-20,-0.0021097054238495955,0.0002556314486833719,0.0,0.00028529360466791675
1998-02-23,0.0028821502500107924,0.0002600823056587923,0.0,0.0003131125930510108
1998-02-24,-0.0019673980488707572,0.00026701841975035367,0.0,0.00031746075029851937
1998-02-25,0.0009841828562426448,0.00026288443841367186,0.0,0.0003008042901288857
1998-02-26,-0.001898935057382701,0.00023076615920138323,0.0,0.00023893097360394206
1998-02-27,0.0021799523417949545,0.00018275521482888108,0.0,0.00018748679598462218
1998-03-02,0.0009829390667134119,0.00016428837266412583,1.4747478153715637e-06,0.00016281362484875427
1998-03-03,-0.004430854384811047,0.00014828983704331296,1.2813800815343157e-05,0.0001354760362279698
1998-03-04,0.0024640091314776483,0.00014540130660657563,1.3456852717821255e-05,0.00013194445388875438
1998-03-05,-0.0026049932005114003,0.00014953638044371665,7.724831539632096e-06,0.00014181154890408455
1998-03-06,0.0,0.00014522203296853844,0.0,0.0001518940617510012
1998-03-09,-0.002965266222452001,0.00014522203296853844,0.0,0.0001518940617510012
1998-03-10,-0.00021214156993608436,0.00015076293893307794,8.71805271015103e-06,0.0001420448862229269
1998-03-11,-0.004607486442672638,0.0001387180317598202,4.15341531885821e-05,9.71838785712381e-05
1998-03-12,0.002696184406115955,8.947777407904286e-05,1.8577525660078056e-05,7.09002484189648e-05
1998-03-13,-0.0009215610477473976,9.22963274554053e-05,1.1433860835549501e-05,8.08624666198558e-05
1998-03-16,0.002691410364639728,8.483881215649332e-05,8.980334401695583e-06,7.585847775479774e-05
1998-03-17,0.0019079255337176159,8.821184682468301e-05,1.1498825199171748e-05,7.671302162551126e-05
1998-03-18,0.0016928832426963622,9.088341077237273e-05,9.039993627307379e-06,8.184341714506535e-05
1998-03-19,-0.0006344954211948855,9.014331009361784e-05,9.728834995909491e-06,8.041447509770835e-05
1998-03-20,0.00014103377782347999,8.57937023206378e-05,7.0578330416602e-06,7.87358692789776e-05
1998-03-23,0.0026758694932898183,8.484742363825354e-05,1.2812217412234576e-05,7.203520622601897e-05
1998-03-24,-0.0015483147579006624,7.237523060397335e-05,1.689665384238612e-05,5.547857676158723e-05
1998-03-25,-0.006713568907090935,6.870116819350112e-05,1.6797156510779436e-05,5.190401168272169e-05
1998-03-26,0.0012046913549927088,0.00010698718608904865,3.8755189841263766e-05,6.823199624778489e-05
1998-03-27,0.0019103554117013094,0.00010843846734984282,2.7502218462461224e-05,8.09362488873816e-05
1998-03-30,0.005498392535597424,0.00010329512137884452,1.9731978872511536e-05,8.356314250633299e-05
1998-03-31,-0.0031684589084133327,0.00013348243780866306,3.495519122934457e-05,9.852724657931849e-05
1998-04-01,-0.00035267149016561663,0.0001222926383435547,1.5913298677884354e-05,0.00010637933966567034
1998-04-02,0.0014099403111187865,0.00011514760517174749,1.0915973542817623e-05,0.00010423163162892986
1998-04-03,0.0010561521840747742,0.00011628626208793994,1.51696031492453e-05,0.00010111665893869464
1998-04-06,-0.0017608738481946042,0.00011015802977297571,1.4768335618686249e-05,9.538969415428946e-05
1998-04-07,0.0026753043272761397,0.00010961852664001973,1.638105028222854e-05,9.323747635779119e-05
1998-04-08,0.0016157929680711424,0.00011390992621016002,1.4959861400663978e-05,9.895006480949605e-05
1998-04-09,0.00035091413491301795,0.0001161181286863109,1.0518486190189044e-05,0.00010559964249612186
1998-04-10,0.0010520041647712384,0.00011622137888990549,1.0323887322456846e-05,0.00010589749156744864
1998-04-13,0.0037780776766531423,0.00011016781410748243,1.0198390217284876e-05,9.996942389019755e-05
1998-04-14,0.0017442879008286814,0.00012204440644877423,3.2159753162680024e-05,8.98846532860942e-05
1998-04-15,0.0034794746308110425,8.00149392594934e-05,0.0,8.753203511626691e-05
1998-04-16,-0.001807815817069558,9.067040170515685e-05,0.0,9.345050798479166e-05
1998-04-17,-0.005163282472794488,9.028914193458725e-05,3.4573958014636705e-06,8.683174613312358e-05
1998-04-20,-0.0010498688628368148,8.671630735294056e-05,1.2587853577475052e-05,7.41284537754655e-05
1998-04-21,0.0020986366569212054,7.777940012779102e-05,0.0,8.088813131022893e-05
1998-04-22,0.0011872753428757467,8.20592987655888e-05,0.0,8.356798450360041e-05
1998-04-23,0.0012555805220928566,8.148098982447179e-05,0.0,8.514278324679071e-05
1998-04-24,0.0010451141867498894,8.194201483600484e-05,0.0,8.45631107612778e-05
1998-04-27,0.0017394333834329734,7.993360179009506e-05,7.090754667099172e-07,7.922452632338514e-05
1998-04-28,0.0003475238957653251,7.58019770419537e-05,5.120307021834014e-07,7.52899463397703e-05
1998-04-29,-0.0009733714180186287,7.331196298441346e-05,0.0,7.534883561068667e-05
1998-04-30,-0.005160761855053763,7.413627417174731e-05,0.0,7.53003085219438e-05
1998-05-01,0.002653447545270069,9.966302433362923e-05,2.2715288760619516e-05,7.694773557300971e-05
1998-05-04,0.0006971070341559563,9.242993727830416e-05,4.323648351194204e-06,8.810628892710995e-05
1998-05-05,0.002783578693646399,8.987335521439654e-05,8.394991988526222e-06,8.147836322587032e-05
1998-05-06,6.949028876001694e-05,8.55149218516611e-05,1.0869203752454166e-05,7.464571809920693e-05
1998-05-07,0.000625195393918318,8.225155272344616e-05,2.1964220008836285e-05,6.028733271460988e-05
1998-05-08,-0.002294296553372847,5.598293611015609e-05,4.142284952050469e-06,5.184065115810562e-05
1998-05-11,-0.0022298106932489214,6.014450815582034e-05,9.511657440667632e-06,5.063285071515271e-05
1998-05-12,-0.0008374625376051096,6.071228806577416e-05,5.957373371964515e-06,5.4754914693809645e-05
1998-05-13,0.008689359876901748,6.000400882786543e-05,4.657433078241359e-06,5.534657574962407e-05
1998-05-14,0.002212390282940642,0.00013393250145071642,6.921645806070614e-05,6.471604339001028e-05
1998-05-15,0.0019318344630858246,0.0001377349085514207,4.5677036323820975e-05,9.205787222759973e-05
1998-05-18,-0.0007584899518956086,0.00013844126444878573,4.0619391026408015e-05,9.782187342237771e-05
1998-05-19,0.0003448394806404131,0.0001388957985977844,3.9303626402611015e-05,9.95921721951734e-05
1998-05-20,-0.0002758620707149342,0.00013806726094777719,4.5954876548258444e-05,9.211238439951874e-05
1998-05-21,-0.0015876854196270683,0.00011150989790525836,4.0758274407413694e-05,7.075162349784466e-05
1998-05-22,0.0014497258415644646,0.00010698985902145499,3.845581471663333e-05,6.853404430482166e-05
1998-05-25,0.0,0.00010860560582008506,3.9504101456180716e-05,6.910150436390435e-05
1998-05-26,0.0036495134326280927,0.00010085729547636287,3.205963289621013e-05,6.879766258015274e-05
1998-05-27,0.0013050796920552569,0.00011417141487106381,4.544199555060948e-05,6.872941932045433e-05
1998-05-28,-0.0008240626753935378,0.00011548377859310217,4.152592878112274e-05,7.395784981197944e-05
1998-05-29,0.0010299722818040617,0.00011089906121126038,4.328782471688492e-05,6.761123649437546e-05
1998-06-01,-0.0002059096064105973,0.00010698784838481781,4.097665834145715e-05,6.601119004336066e-05
1998-06-02,-0.0017175642297338582,0.000106328903648938,5.141528313163787e-05,5.4913620517300135e-05
1998-06-03,-0.0008943006133814292,3.37739554618893e-05,8.50219214283921e-06,2.5271763319050087e-05
1998-06-04,0.001925193113874484,2.9679058284933532e-05,8.708061560086962e-06,2.097099672484657e-05
1998-06-05,0.0019214938659751748,2.9653442417877174e-05,8.279655260233067e-06,2.1373787157644107e-05
1998-06-08,0.0004112687699342843,3.2770274087730796e-05,5.996576925312433e-06,2.6773697162418364e-05
1998-06-09,0.0006850723019184533,3.2820501821445706e-05,4.954909126287283e-06,2.7865592695158423e-05
1998-06-10,0.004577917871731733,3.3213725998242415e-05,5.593544066867139e-06,2.7620181931375275e-05
1998-06-11,0.00217909517620332,5.165031304686684e-05,2.2719307623206802e-05,2.8931005423660037e-05
1998-06-12,-0.0010889540312458285,5.429706381811962e-05,9.696236022706963e-06,4.4600827795412654e-05
1998-06-15,0.003738322110607158,5.5482884700286156e-05,7.15466014531319e-06,4.8328224554972966e-05
1998-06-16,-0.002173323322164873,5.613898860800763e-05,8.897825693911762e-06,4.7241162914095866e-05
1998-06-17,-0.004975643295176413,5.915908986805834e-05,8.452027438821919e-07,5.831388712417615e-05
1998-06-18,0.003751070041936773,8.323703677591558e-05,9.270290072785234e-06,7.396674670313035e-05
1998-06-19,0.00034030968509459424,9.624672033414646e-05,0.0,0.0001029509317970323
